Subscription,Status,Snapshot,Error
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010af3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010af1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010b55,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010ace,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010ae9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010b70,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010af2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010af7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010c41,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010b54,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010c42,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010f1f,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010db3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010db6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010eb7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010f1e,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010f1d,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010db5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010f44,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0110af,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0110f3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0111b3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0111b4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0110b1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0110be,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011197,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112c4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112ca,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112cd,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112cf,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112c5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112cc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112cb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112da,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112d9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112db,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112dc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112dd,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112de,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112df,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm010db4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0112e0,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011363,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011364,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114cf,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d0,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0114d7,
