Subscription,Status,Snapshot,Error
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ccc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ccb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cdc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cd6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cda,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cd4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cdb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cc8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cd5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cdd,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cde,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cea,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ce9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010ceb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010daf,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010d72,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dad,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dae,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010db0,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc0,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010db1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dbf,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010b70,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dcb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dc6,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010e3c,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010dcc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011109,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010db2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0117ac,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0118ee,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0117ad,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm01182f,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0117f3,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a43,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0117f4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0118f9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a6f,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a70,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm010cf5,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a83,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a81,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a82,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm011a71,
az-core-nonprod-01,deleted,RH_PATCH_CHG0633563_dgm0118fa,
